路線,コマンド,駅番号,駅コード,駅名,札幌方面発車,小樽方面発車,札幌方面到着,小樽方面到着
s,S01,1,091,札幌,0,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,0
s,S02,2,090,桑園,函館線・学園都市線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線・学園都市線[札幌方面から]@1
s,S03,3,089,琴似,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S04,4,088,発寒中央,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S05,5,087,発寒,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S06,6,086,稲積公園,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S07,7,085,手稲,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S08,8,084,稲穂,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S09,9,083,星置,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S10,10,082,ほしみ,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S11,11,081,銭函,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S12,12,079,朝里,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S13,13,078,小樽築港,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S14,14,077,南小樽,函館線[札幌方面へ]@1,函館線[小樽方面へ]@1,函館線[小樽方面から]@1,函館線[札幌方面から]@1
s,S15,15,076,小樽,函館線[札幌方面へ]@1,函館線[余市・倶知安方面へ]@1,函館線[余市・倶知安方面から]@1,函館線[札幌方面から]@1
h,H01,1,091,札幌,0,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,0
h,H02,2,092,苗穂,函館線・千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,函館線・千歳線[札幌方面から]@1
h,H03,3,093,白石,函館線・千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,函館線・千歳線[札幌方面から]@1
h,H04,4,234,平和,千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,千歳線[札幌方面から]@1
h,H05,5,235,新札幌,千歳線[（普通・快速）札幌方面へ]@1,千歳線[（普通・快速）千歳方面へ]@1,千歳線[（普通・快速）千歳方面から]@1,千歳線[（普通・快速）札幌方面から]@1
h,H06,6,236,上野幌,千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,千歳線[札幌方面から]@1
h,H07,7,238,北広島,千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,千歳線[札幌方面から]@1
h,H08,8,239,島松,千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,千歳線[札幌方面から]@1
h,H09,9,240,恵み野,千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,千歳線[札幌方面から]@1
h,H10,10,241,恵庭,千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,千歳線[札幌方面から]@1
h,H11,11,242,サッポロビール庭園,千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,千歳線[札幌方面から]@1
h,H12,12,243,長都,千歳線[札幌方面へ]@1,千歳線[千歳方面へ]@1,千歳線[千歳方面から]@1,千歳線[札幌方面から]@1
h,H13,13,244,千歳,千歳線[札幌方面へ]@1,千歳線[苫小牧方面へ]@1,千歳線[苫小牧方面から]@1,千歳線[札幌方面から]@1
h,H14,14,245,南千歳,千歳線[（普通・快速）札幌方面へ]@1,千歳線[苫小牧・東室蘭・函館方面へ]@1,千歳線[苫小牧・東室蘭・函館方面から]@1,千歳線[（普通・快速）札幌方面から]@1
h,AP15,15,246,新千歳空港,千歳線[札幌方面へ]@1,0,0,千歳線[札幌方面から]@1
h,H16,16,248,植苗,千歳線[札幌方面へ]@1,千歳線[苫小牧方面へ]@1,千歳線[苫小牧方面から]@1,千歳線[札幌方面から]@1
h,H17,17,216,沼ノ端,千歳線[札幌方面へ]@1,室蘭本線[苫小牧方面へ]@1,室蘭本線[苫小牧方面から]@1,千歳線[札幌方面から]@1
h,H18,18,215,苫小牧,千歳線[札幌方面へ]@1,室蘭本線[室蘭・函館方面へ]@1,室蘭本線[室蘭・函館方面から]@1,千歳線[札幌方面から]@1
a,A01,1,091,札幌,0,函館線[岩見沢方面へ]@1,函館線[岩見沢方面から]@1,0
a,A02,2,092,苗穂,函館線・千歳線[札幌方面へ]@1,函館線[岩見沢方面へ]@1,函館線[岩見沢方面から]@1,函館線・千歳線[札幌方面から]@1
a,A03,3,093,白石,函館線・千歳線[札幌方面へ]@1,函館線[岩見沢方面へ]@1,函館線[岩見沢方面から]@1,函館線・千歳線[札幌方面から]@1
